Study	Site	Quantative,Qualative	pH	Salinity (mS/cm)	Latitude	Longitude	Description	Soil/Tailing/Sediment	Sequencing method	Library	Kit	BioProject ID	Sequence Reads Archive	K+(mmol/kg)	Na+(mmol/kg)	T(°C)									
Zhang2022	RS_11	Qualitative			22,17	119,28	Sea Sediment	Sediment	HiSeq X Ten			PRJNA707313	SRR13892601												
Zhang2024	SY220-summit	Qualitative		3,53	11,44	139,41	Sea Sediment	Sediment	Illumina NovoSeq 6000		MoBio PowerSoil DNA	PRJNA113162	SRR29704029			2,18									
Zhang2024	B02	Qualitative		3,458	11,25	142,23	Sea Sediment	Sediment	Illumina NovoSeq 6000		MoBio PowerSoil DNA	PRJNA113162	SRR29704036			1,5									
Zhang2024	SY207	Qualitative		3,457	11,61	140,32	Sea Sediment	Sediment	Illumina NovoSeq 6000		MoBio PowerSoil DNA	PRJNA113162	SRR29704030			1,6									
Zhang2024	SY212-flank	Qualitative		3,456	12,32	141,72	Sea Sediment	Sediment	Illumina NovoSeq 6000		MoBio PowerSoil DNA	PRJNA113162	SRR29704038			1,69									
Zhang2024	SY222	Qualitative		3,456	11,65	138,62	Sea Sediment	Sediment	Illumina NovoSeq 6000		MoBio PowerSoil DNA	PRJNA113162	SRR29704047			1,54									
Zhang2024	SY203	Qualitative		3,455	11,22	139,93	Sea Sediment	Sediment	Illumina NovoSeq 6000		MoBio PowerSoil DNA	PRJNA113162	SRR29704033			1,61									
Zhang2024	SY194	Qualitative		3,453	12,42	140,92	Sea Sediment	Sediment	Illumina NovoSeq 6000		MoBio PowerSoil DNA	PRJNA113162	SRR29704040			1,75									
Zhang2024	SY190	Qualitative		3,453	12,61	140,87	Sea Sediment	Sediment	Illumina NovoSeq 6000		MoBio PowerSoil DNA	PRJNA113162	SRR29704043			1,68									
Zhang2025	S56	Quantatative	9,96	43,09	31,5862	86,7838	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846336			16,4									
Zhang2025	S57	Quantatative	9,99	42,59	31,5853	86,7849	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846337			16,8									
Zhang2025	S52	Quantatative	8,95	30,09	32,031	83,5685	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846332			18,4									
Zhang2025	S58	Quantatative	8,37	20,79	33,005	88,6643	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846338			13,7									
Zhang2025	S48	Quantatative	9,4	15,41	32,0456	84,1005	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846331			16									
Zhang2025	S42	Quantatative	9,26	13,61	32,6715	89,5329	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846328			10,9									
Zhang2025	S40	Quantatative	9,79	13,06	32,6684	89,5275	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846326			11,4									
Zhang2025	S47	Quantatative	9,47	12,74	32,0484	84,096	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846330			16,3									
Zhang2025	S41	Quantatative	9,91	11,6	32,6693	89,5343	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846327			11,3									
Zhang2025	S46	Quantatative	9,41	9,8	32,0513	84,093	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846329			16,4									
Zhang2025	S53	Quantatative	9,19	8,53	32,0431	83,5665	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846333			18,3									
Zhang2025	S54	Quantatative	9,39	6,75	32,0424	83,5663	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846334			18,2									
Zhang2025	S55	Quantatative	9,9	6,38	31,5879	86,7892	Salt lake	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846335			16,9									
Zhang2025	S30	Quantatative	10,24	3,88	31,8233	87,4706	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846325			15,1									
Zhang2025	S29	Quantatative	10,35	3,61	31,8241	87,4769	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846324			15,4									
Zhang2025	S28	Quantatative	10,38	3,16	31,8189	87,4699	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846323			15,5									
Zhang2025	S19	Quantatative	9,77	1,072	31,703	88,7354	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846320			16,9									
Zhang2025	S20	Quantatative	9,83	0,975	31,7093	88,7272	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846321			16,9									
Zhang2025	S21	Quantatative	9,89	0,877	31,7098	88,7311	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846322			16,8									
Zhang2025	S5	Quantatative	8,39	0,781	31,6582	88,8109	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687 	DRR846315			15,4									
Zhang2025	S4	Quantatative	8,38	0,64	31,644	88,8172	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687 	DRR846314			15,3									
Zhang2025	S6	Quantatative	8,4	0,561	31,6605	88,8108	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687 	DRR846316			15,4									
Zhang2025	S3	Quantatative	8,07	0,557	31,0229	88,5638	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687 	DRR846313			13,2									
Zhang2025	S12	Quantatative	8,9	0,546	30,87	91,0368	Brackish lake Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846319			12,2									
Zhang2025	S2	Quantatative	8,12	0,521	31,0215	88,5638	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687 	DRR846312			13									
Zhang2025	S11	Quantatative	9,01	0,422	30,8682	91,0358	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846318			12,3									
Zhang2025	S1	Quantatative	8,26	0,31	31,0235	88,5678	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687 	DRR846311			13,9									
Zhang2025	S10	Quantatative	8,97	0,1551	30,8674	91,0432	Lake_Sediment	Sediment	MGISEQ-2000RS			PRJCA037687	DRR846317			12,6									
Zhao2022	Hutong Qagan Lake	Qualitative			39,1825	109,0019	Soda Lake	Sediment	Illumina HiSeq 2000			PRJNA549802	SRR9330140												
Zhao2022	Habor Lake	Qualitative			39,4214	108,6811	Soda Lake	Sediment	Illumina HiSeq 2000			PRJNA549802	SRR9330146												
Moguel 2021	100_1_zon2_hyposaline				19.51	-98.55	Lake_Sediment	Sediment	NextSeq 500		Powersoil DNA Isolation Kit	PRJNA522291													
